account_wide,achievement_id,achievement_name,category_id,category_name,criteria_id,criteria_name,description,next_id,next_name
0,6,Level 10,92,Character,2050,,Reach level 10.,7,Level 20
0,7,Level 20,92,Character,2683,,Reach level 20.,8,Level 30
0,8,Level 30,92,Character,1289,,Reach level 30.,9,Level 40
0,9,Level 40,92,Character,942,,Reach level 40.,10,Level 50
0,10,Level 50,92,Character,2053,,Reach level 50.,11,Level 60
0,11,Level 60,92,Character,2056,,Reach level 60.,12,Level 70
0,12,Level 70,92,Character,2059,,Reach level 70.,13,Level 80
0,13,Level 80,92,Character,2262,,Reach level 80.,4826,Level 85
0,31,A Simple Re-Quest,96,Quests,2807,,Complete a daily quest every day for five consecutive days.,,
0,32,2000 Quests Completed,96,Quests,2810,,Complete 2000 quests.,978,3000 Quests Completed
0,33,Nothing Boring About Borean,14863,Northrend,1741,,Complete the Borean Tundra storylines listed below.,,
0,34,I've Toured the Fjord,14863,Northrend,5287,,Complete the Howling Fjord storylines listed below.,,
0,35,Might of Dragonblight,14863,Northrend,1745,,Complete the Dragonblight storylines listed below.,,
0,36,The Empire of Zul'Drak,14863,Northrend,1881,,Complete the Zul'Drak storylines listed below.,,
0,37,Fo' Grizzle My Shizzle,14863,Northrend,5284,,Complete the Grizzly Hills storylines listed below.,,
0,38,The Summit of Storm Peaks,14863,Northrend,1884,,Complete the Storm Peaks storylines listed below.,,
0,39,Into the Basin,14863,Northrend,1887,,Complete the Sholazar Basin storylines listed below.,,
0,40,Icecrown: The Final Goal,14863,Northrend,3375,,Complete the Icecrown storylines listed below.,,
0,73,Disgracin' The Basin,14802,Arathi Basin,7709,,Assault 3 bases in a single Arathi Basin battle.,,
0,116,Professional Journeyman,169,Professions,65946,,"Obtain 150 skill points in a ""Classic"" category of a profession.",731,Professional Expert
0,121,Journeyman Cook,170,Cooking,5281,,"Obtain 150 skill points in the ""Classic"" category of cooking.",122,Expert Cook
0,122,Expert Cook,170,Cooking,2377,,"Obtain 225 skill points in the ""Classic"" category of cooking.",123,Classic Cook
0,123,Classic Cook,170,Cooking,4033,,"Obtain 300 skill points in the ""Classic"" category of cooking.",,
0,124,Outland Cook,170,Cooking,2432,,"Obtain 75 skill points in the ""Outland"" category of cooking.",,
0,125,Northrend Cook,170,Cooking,1578,,"Obtain 75 skill points in the ""Northrend"" category of cooking.",,
