,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479
0,132,606,166,509,1559,485,9,486,507,6457,889,8,605,479,483,478,126,482,208,484,504,515,6,154,977,402,2782,2785,480,487,1182,1176,122,131,407,5780,513,397,730,891,2536,974,1558,1556,399,2788,488,477,3916,503,2783,1311,1576,238,121,406,2049,5315,973,218,481,1308,2001,4528,3846,3161,3817,3809,3917,2779,3141,3185,2780,4176,3776,2914,3157,2784,2777,3177,2786,3778,2781,2917,4518,2978,2053,2977,1797,2787,1717,2256,4296,2913,2756,2778,2916,2918,2142,2141,2085,4919,4531,4815,1778,4606,6469,1795,5824,2417,2000,1999,4608,5144,5159,4604,4913,4517,1998,4516,2052,4527,4839,4840,4833,4477,4605,4607,4529,5465,4848,4854,5264,5208,4857,5245,4817,4476,5325,5036,5459,5322,5536,4597,4530,5540,4841,4860,1777,5472,5268,5269,4532,5132,4861,4846,4847,4956,5541,5542,5823,5421,5412,5422,5328,5535,5467,3808,5196,5201,6023,6551,6600,1017,6739,6740,6755,6757,6566,6593,6594,6884,6888,6892,6893,6894,6895,6896,6897,6898,6943,6954,7326,7338,7339,7340,7341,7342,7343,7344,7345,7346,7347,7348,7349,7350,7351,7352,7353,7354,7355,7356,7357,7382,7281,7433,7438,7437,6921,6641,7462,7482,5130,6555,6554,6579,6578,6609,6601,6595,6618,6559,7844,7843,6558,7994,7947,7948,8100,8109,8220,8222,8224,8226,8228,8230,8232,8238,8246,8248,8249,8297,8331,8339,8342,8398,8399,8717,8723,8871,8875,8879,8883,8887,8891,8997,9001,8843,9037,9039,9043,9041,9042,9076,9095,9099,9100,9107,9110,9125,9133,9141,9150,9146,9152,9162,9211,9145,9044,9218,9250,9038,9392,9405,9426,9444,9441,9450,9498,9538,9545,9648,9670,9726,9209,9756,9766,9769,9770,9780,9786,9793,9800,9806,9812,9828,9906,9911,9897,10010,10011,10162,10044,10156,10017,10159,10161,10256,10177,10170,10172,10258,10259,10261,10595,10601,10607,10706,10780,10783,10786,10795,10798,10801,10804,10807,10994,10991,11138,11144,11183,11190,11194,11195,11200,11214,11220,11225,11126,11394,11558,11559,11560,11561,11581,11609,11545,11700,11731,11735,11737,11874,1020,621,12007,12077,12101,12110,12242,12243,12244,12245,12317,12364,12385,7378,731,116,12483,12500,12504,12515,12518,12536,12546,12594,12596,12597,12738,12769,12824,12831,12835,12840,12844,12893,12858,12856,12877,12888,13030,13099,12590,13108,13107,13096,13095,13104,13103,13112,13111,13118,13119,13123,13161,13163,13206,13301,13302,13322,13389,13396,13418,13079,12865,12864,11177,6742,6826,5723,5374,1015,1014,518,519,520,521,524,523,522,13475,13472,13478,13577,13581,13746,13752,13748,13751,13747,13753,13743,13755,13745,13754,13744,13769,13772,13780,13784,13704,13645,14013,14062,14063,14068,14143,14144,14165,14170
1,133,607,167,239,1560,496,10,497,508,6456,890,9,606,500,494,490,127,493,209,495,505,516,7,155,5751,403,2770,2767,491,498,5752,1177,123,132,404,5781,515,398,4915,889,7860,975,1559,1557,400,2771,499,489,3812,504,2765,1312,4958,513,122,407,2050,5469,974,219,492,1309,2002,4629,3851,3162,3818,3810,3918,2762,3158,3186,2763,4177,3777,2915,3141,2766,2760,3178,2768,4297,2764,3057,4521,12352,2054,3176,1798,2769,1718,2257,4298,2914,2758,2761,2917,2916,2143,2142,2086,4920,4628,4816,1779,4634,6470,1796,5326,2418,2001,2000,4637,5263,5029,4632,5420,4520,1999,4519,2053,4631,5061,5062,5060,4478,4633,4635,4630,5024,5066,4855,5265,5209,4919,5246,4818,4477,5832,5274,5273,5327,5537,4584,4583,5539,5065,6626,1778,5473,5322,5323,4636,5240,5009,5063,5064,4957,5540,5541,5329,5239,5418,5264,5826,5536,5466,3809,4949,4948,6024,6552,7521,15,6883,6882,6756,6758,6567,6462,6593,6885,6889,6899,6902,6905,6908,6911,6914,6917,8852,7485,7327,7358,7359,7360,7361,7362,7363,7364,7365,7366,7367,7368,7369,7370,7371,7372,7373,7374,7375,7376,7377,7383,7282,6566,7439,7438,6632,6642,7463,7483,5129,6556,6555,6580,6581,6610,7498,6596,6619,6560,5892,7844,6559,7995,9168,9172,8101,8110,8221,8223,8225,8227,8229,8231,8233,8260,7486,7487,8238,8298,8332,9176,9177,8400,8401,8718,8784,8872,8876,8880,8884,8888,8892,8998,9002,8844,9046,9049,9052,9054,9055,9077,9096,9098,9101,9108,9111,9126,9134,9142,9900,9523,9167,9164,9212,9524,9053,9219,9251,9047,9393,9406,9427,9443,9442,9565,9499,9526,9546,9649,9671,9727,9827,9759,9764,9766,9769,9781,9787,9794,9801,9807,9813,9912,9908,9906,9914,6759,6763,10163,10045,10154,10036,10160,10155,10167,10169,10255,10173,10307,10070,10262,10596,10602,10608,11212,10781,10784,10788,10796,10799,10802,10805,10808,11135,10992,11139,11772,11184,11446,11191,11192,11201,11215,11221,11226,11127,11426,13186,13188,11563,11564,11580,11610,11796,11701,11732,11736,11738,11875,1021,1020,12008,12078,12102,12111,12291,12414,12413,12415,12318,12365,12386,7379,732,731,12484,12501,12505,13076,13077,12535,12547,12595,12594,13120,12739,12770,12825,12832,12837,12841,12845,12894,12860,12857,12876,12889,13573,13100,12589,13109,13108,13097,13096,13105,13104,13113,13112,13116,13118,13124,13503,13504,14002,13306,13305,13323,13394,13397,13419,13080,12866,12865,12864,11177,6742,6826,5723,5374,1015,1014,518,519,520,521,524,523,13477,13482,13479,13578,13582,13749,13757,13752,13756,13751,13758,13753,13760,13755,13759,13754,13770,13773,13781,13785,13762,13761,14014,14064,14065,14069,13994,14145,14166,14171
2,134,608,,869,1561,,11,,32,,892,10,607,,,,128,,,,506,512,8,,7410,405,2817,,,,,1178,,133,1161,5782,516,875,6836,890,8304,976,1560,1558,401,2816,,,,505,,,,515,123,404,2051,5470,975,,,,,,,3163,3819,4080,,,3159,3187,,,,3056,3158,,,3179,,,,,,,,,1799,,,,,2915,,,3057,2917,2537,2143,2087,4921,,,,,,1797,,,2002,2001,,,5203,,,,2000,,2054,,,,,,,,,,,4856,6629,,4920,,,4478,,5468,5275,,5538,,,,,,1779,,5327,5324,,5241,5010,,,,5539,5540,,4947,,5265,,5537,,3810,,,,,,1248,,,,,6568,6591,6462,6886,6890,6900,6903,6906,6909,6912,6915,6918,,,,,,,,,,,,,,,,,,,,,,,,7384,7283,6567,,7439,6633,6643,7464,6600,5812,6557,6556,6583,6582,,7499,6597,,,,5892,6560,7996,9169,9173,,,,,,,,,,,,,8260,8300,,,,,,8719,,8873,8877,8881,8885,8889,8893,8999,9003,10081,10076,10080,10082,10084,10085,9080,,,,9109,9129,9128,9138,9143,,,9543,9165,9213,,10083,9220,9252,10079,9394,9407,9428,,,9451,,,,9650,9672,10348,,9760,,9764,9766,9783,9790,9795,9803,9809,9815,10015,9909,9908,10016,,,,,,,,,,10168,10275,10174,,,,,10603,10609,11213,10782,10785,10789,10797,10800,10803,10806,10809,11136,10993,,,11185,,,,,11216,11222,11227,11128,,13189,13190,11565,11566,,,,11702,,,,,5755,1021,,,12103,,,,,,12319,12366,12387,,,732,13000,13003,13004,,,,,,12595,13121,12740,,13002,12999,13001,13005,13006,12895,12863,12858,,,,13101,12591,,13109,,13097,,13105,,13113,,13116,,,,,,,,13395,13398,,,,12866,12865,12864,11177,6742,6826,5723,5374,1015,1014,518,519,520,521,524,13476,,,13579,13583,13750,,13757,,13756,,13758,,13760,,13759,13771,13775,,,,,,14066,14067,,,,14167,14172
3,135,609,,870,,,12,,978,,5180,11,608,,,,,,,,507,509,9,,7411,1160,,,,,,1180,,134,,7446,512,876,9506,892,9598,977,1561,1559,1159,,,,,506,,,,516,,1161,,,976,,,,,,,3164,,,,,,,,,,,3159,,,,,,,,,,,,5471,,,,,3056,,,,3057,7862,2537,2088,4922,,,,,,1798,,,,2002,,,,,,,2001,,,,,,,,,,,,,9422,,,4921,,,,,,,,6924,,,,,,,,,,,5244,,,,,,5539,,,,6629,,5538,,4080,,,,,,1250,,,,,6569,6592,6591,6887,6891,6901,6904,6907,6910,6913,6916,6919,,,,,,,,,,,,,,,,,,,,,,,,,7284,6568,,,6634,,,7521,,7436,6557,,,,,6598,,,,,,7997,9170,9174,,,,,,,,,,,,,,8301,,,,,,8720,,8874,8878,8882,8886,8890,8894,9000,9004,,,,,,,,,,,9494,,,9139,,,,,9826,9243,,,,,,,,,,,9452,,,,9651,9673,9728,,9761,,,9764,9785,9792,9797,9805,9811,9817,,,9909,,,,,,,,,,,,10276,,,,,,,,,,,,,,,,,,10995,,,11162,,,,,11217,,13074,11129,,13191,13192,,,,,,,,,,,,5755,,,12104,,,,,,12320,,12388,,,,,,,,,,,,,,,,,,,,,12900,,12860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866,12865,12864,11177,6742,6826,5723,5374,1015,1014,518,519,520,521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14168,14173
4,4918,,,5363,,,13,,,,,12,609,,,,,,,,508,239,10,,,5266,,,,,,1181,,135,,,509,,10580,5180,10356,5751,,1560,,,,,,507,,,,512,,,,,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7328,,,,,,,,,,8302,7862,2089,4923,,,,,,1799,,,,,,,,,,,2002,,,,,,,,,,,,,,,,4922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6924,,,,,,,,2516,,,,,6570,,6592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6569,,,,,,,,,7436,,,,,6599,,,,,,,,,,,,,,,,,,,,,,,,,,,,8721,,,,,,,,,,,,,,,,,,,,,,,9140,,,,,,,,,,,,,,,,,,,,,,10354,,,,,,,,,9799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11468,,,,,,,,,,,11130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12901,,12863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866,12865,12864,11177,6742,6826,5723,5374,1015,1014,518,519,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14169,
5,6838,,,,,,4826,,,,,13,,,,,,,,,32,869,11,,,5267,,,,,,5455,,4918,,,239,,,,12932,7410,,1561,,,,,,508,,,,509,,,,,5751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9599,8302,,6837,,,,,,5471,,,,,,,,,,,,,,,,,,,,,,,,,,,4923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11469,,,,,,,,,,,11131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866,12865,12864,11177,6742,6826,5723,5374,1015,1014,518,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,9505,,,,,,6193,,,,,4826,,,,,,,,,978,870,12,,,,,,,,,5456,,6838,,,869,,,,12933,7411,,,,,,,,32,,,,239,,,,,7410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10355,9599,,9409,,,,,,7328,,,,,,,,,,,,,,,,,,,,,,,,,,,6837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11470,,,,,,,,,,,11132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866,12865,12864,11177,6742,6826,5723,5374,1015,1014,518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,10599,,,,,,9060,,,,,6193,,,,,,,,,,5363,13,,,,,,,,,6753,,9505,,,870,,,,,,,,,,,,,978,,,,869,,,,,7411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12931,10355,,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866,12865,12864,11177,6742,6826,5723,5374,1015,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,10671,,,,,9060,,,,,,,,,,,4826,,,,,,,,,,,10599,,,5363,,,,,,,,,,,,,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12934,12931,,12761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866,12865,12864,11177,6742,6826,5723,5374,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,12544,,,,,10671,,,,,,,,,,,6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12866,12865,12864,11177,6742,6826,5723,5374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
