,account_wide,achievement_id,achievement_name,category_id,category_name,criteria_id,criteria_name,next_id,next_name
0,0.0,10.0,Level 50,92.0,Character,2053.0,,11.0,Level 60
1,0.0,10000.0,Guardian of the Horde: Warlords Season 1,15270.0,Player vs. Player,,,,
2,0.0,10001.0,Defender of the Horde: Warlords Season 1,15270.0,Player vs. Player,,,,
3,0.0,10010.0,Gate of the Setting Sun,15106.0,Pandaria Dungeon,43685,,6759,Heroic: Gate of the Setting Sun
4,0.0,10011.0,Siege of Niuzao Temple,15106.0,Pandaria Dungeon,43688,,6763,Heroic: Siege of Niuzao Temple
5,0.0,10012.0,This Land Was Green and Good Until...,15231.0,Draenor Raid,43691,,,
6,0.0,10013.0,Waves Came Crashing Down All Around,15231.0,Draenor Raid,43693,,,
7,0.0,10015.0,Full Discography,15303.0,Draenor Garrison,43701,,,
8,0.0,10016.0,Full Discography,15303.0,Draenor Garrison,43733,,,
9,0.0,10017.0,Naval Bonus Specialist,15303.0,Draenor Garrison,44520,,10036,Naval Bonus Expert
10,1.0,10018.0,Draenor Pathfinder,15235.0,Draenor,43781,,,
11,0.0,10019.0,The Black Gate,15231.0,Draenor Raid,43782,,,
12,0.0,10020.0,Destructor's Rise,15231.0,Draenor Raid,43791,,,
13,0.0,10021.0,Chapter IV: Darkness Incarnate,15234.0,Legacy,43799,,,
14,0.0,10023.0,Hellbreach,15231.0,Draenor Raid,43809,,,
15,0.0,10024.0,Halls of Blood,15231.0,Draenor Raid,43813,,,
16,0.0,10025.0,Bastion of Shadows,15231.0,Draenor Raid,43817,,,
17,0.0,10026.0,Nearly Indestructible,15231.0,Draenor Raid,43821,,,
18,0.0,10027.0,Mythic: Hellfire Assault,15231.0,Draenor Raid,43825,,,
19,0.0,10030.0,Bad Manner(oth),15231.0,Draenor Raid,43849,,,
20,0.0,10032.0,Mythic: Iron Reaver,15231.0,Draenor Raid,43831,,,
21,0.0,10033.0,Mythic: Kormrok,15231.0,Draenor Raid,43833,,,
22,0.0,10034.0,Mythic: Hellfire High Council,15231.0,Draenor Raid,43835,,,
23,0.0,10035.0,Mythic: Kilrogg Deadeye,15231.0,Draenor Raid,43837,,,
24,0.0,10036.0,Naval Bonus Expert,15303.0,Draenor Garrison,44522,,,
25,0.0,10037.0,Mythic: Shadow-Lord Iskar,15231.0,Draenor Raid,43853,,,
26,0.0,10038.0,Mythic: Fel Lord Zakuun,15231.0,Draenor Raid,43855,,,
27,0.0,10039.0,Mythic: Xhul'horac,15231.0,Draenor Raid,43857,,,
28,0.0,10040.0,Mythic: Socrethar the Eternal,15231.0,Draenor Raid,43859,,,
29,0.0,10041.0,Mythic: Tyrant Velhari,15231.0,Draenor Raid,43861,,,
30,0.0,10042.0,Mythic: Mannoroth,15231.0,Draenor Raid,43863,,,
31,0.0,10043.0,Mythic: Archimonde,15231.0,Draenor Raid,43865,,,
32,0.0,10044.0,Ahead of the Curve: The Black Gate,15271.0,Raids,43867,,10045,Cutting Edge: The Black Gate
33,0.0,10045.0,Cutting Edge: The Black Gate,15271.0,Raids,43869,,,
34,0.0,1005.0,Know Thy Enemy,95.0,Player vs. Player,1612,,,
35,1.0,10052.0,Tiny Terrors in Tanaan,15119.0,Battle,44000,,,
36,1.0,10053.0,I Found Pepe!,15246.0,Collections,44030,,,
37,0.0,10054.0,Don't Fear the Reaper,15231.0,Draenor Raid,44041,,,
38,0.0,10057.0,Turning the Tide,15231.0,Draenor Raid,44059,,,
39,0.0,10058.0,WoW's 11th Anniversary,15274.0,Events,44062,,,
40,0.0,10059.0,Ain't No Mountain High Enough,15252.0,Legion,44072,,,
41,0.0,1006.0,City Defender,95.0,Player vs. Player,1024,,,
42,0.0,10061.0,Hellbane,15235.0,Draenor,44086,,,
43,0.0,10067.0,In Pursuit of Gul'dan,15220.0,Draenor,44192,,,
44,0.0,10068.0,Draenor's Last Stand,15220.0,Draenor,44208,,,
45,0.0,10069.0,"I Came, I Clawed, I Conquered",15235.0,Draenor,44291,,,
46,0.0,1007.0,The Wyrmrest Accord,14866.0,Wrath of the Lich King,8378,,,
47,0.0,10070.0,Jungle Stalker,15235.0,Draenor,44241,,,
48,0.0,10071.0,The Legion Will NOT Conquer All,15231.0,Draenor Raid,44168,,,
49,1.0,10072.0,Rumble in the Jungle,15220.0,Draenor,44170,,,
50,0.0,10073.0,Echoes of Doomfire,15231.0,Draenor Raid,44176,,,
51,0.0,10074.0,In Pursuit of Gul'dan,15220.0,Draenor,44199,,,
52,0.0,10075.0,Draenor's Last Stand,15220.0,Draenor,44233,,,
53,0.0,10076.0,Mythic: Bloodmaul Slag Mines,15228.0,Draenor Dungeon,44209,,,
54,0.0,10079.0,Mythic: Iron Docks,15228.0,Draenor Dungeon,44212,,,
55,0.0,1008.0,The Kirin Tor,14866.0,Wrath of the Lich King,663,,,
56,0.0,10080.0,Mythic: Auchindoun,15228.0,Draenor Dungeon,44214,,,
57,0.0,10081.0,Mythic: Skyreach,15228.0,Draenor Dungeon,44216,,,
58,0.0,10082.0,Mythic: Grimrail Depot,15228.0,Draenor Dungeon,44218,,,
59,0.0,10083.0,Mythic: The Everbloom,15228.0,Draenor Dungeon,44220,,,
60,0.0,10084.0,Mythic: Shadowmoon Burial Grounds,15228.0,Draenor Dungeon,44222,,,
61,0.0,10085.0,Mythic: Upper Blackrock Spire,15228.0,Draenor Dungeon,44224,,,
62,0.0,10086.0,I'm a Soul Man,15231.0,Draenor Raid,44293,,,
