,Unnamed: 0,account_wide,achievement_id,achievement_name,category_id,category_name,criteria_id,criteria_name,description,next_id,next_name,include
2952,2952,0.0,9712.0,Shiny Pet Charmer,15117.0,Pet Battles,40593.0,,Earn 500 Shiny Pet Charms.,,,1
3700,3700,0.0,12270.0,Bringing Hexy Back,15285.0,Battle Dungeon,62876.0,,Defeat all four bosses with at least one party member under the affects of Unstable Hex in Atal'Dazar on Mythic difficulty.,,,1
3701,3701,0.0,12272.0,Gold Fever,15285.0,Battle Dungeon,62892.0,,Defeat Priestess Alun'za after defeating the Fatal Corruption in Atal'Dazar on Mythic difficulty.,,,1
3702,3702,0.0,12273.0,It's Lit!,15285.0,Battle Dungeon,62897.0,,Defeat Yazma while all four Shadowflame Sconces are lit in Atal'Dazar on Mythic difficulty.,,,1
3784,3784,0.0,12457.0,Remix to Ignition,15285.0,Battle Dungeon,65318.0,,Defeat Knight Captain Valyri without detonating any Munitions in Tol Dagor on Mythic difficulty.,,,1
3785,3785,0.0,12462.0,Shot Through the Heart,15285.0,Battle Dungeon,65336.0,,Defeat Overseer Korgus after all party members have been stunned by Heartstopper Venom at the same time in Tol Dagor on Mythic difficulty.,,,1
3792,3792,0.0,12483.0,Waycrest Manor,15285.0,Battle Dungeon,65978.0,,Defeat Gorak Tul in Waycrest Manor.,12484.0,Heroic: Waycrest Manor,1
3793,3793,0.0,12484.0,Heroic: Waycrest Manor,15285.0,Battle Dungeon,65980.0,,Defeat Gorak Tul in Waycrest Manor on Heroic difficulty or higher.,13000.0,Mythic: Waycrest Manor Guild Run,1
3794,3794,0.0,12488.0,Mythic: Waycrest Manor,15285.0,Battle Dungeon,65982.0,,Defeat Gorak Tul in Waycrest Manor on Mythic difficulty.,,,1
3795,3795,0.0,12489.0,Losing My Profession,15285.0,Battle Dungeon,65984.0,,Find and kill all of the enemies in Waycrest Manor and Siege of Boralus listed below on Mythic difficulty.,,,1
3796,3796,0.0,12490.0,Alchemical Romance,15285.0,Battle Dungeon,65990.0,,"Destroy three Deathtouched Slavers's corpses using a single Alchemical Fire, then defeat Gorak Tul in Waycrest Manor on Mythic difficulty.",,,1
3797,3797,0.0,12495.0,Run Wild Like a Man On Fire,15285.0,Battle Dungeon,66012.0,,Defeat the Soulbound Goliath without it gaining 12 stacks of Soul Harvest in Waycrest Manor on Mythic difficulty.,,,1
3800,3800,0.0,12498.0,Taint Nobody Got Time For That,15285.0,Battle Dungeon,66081.0,,Defeat Elder Leaxa without any party member receiving the Taint of G'huun in Underrot on Mythic difficulty.,,,1
3801,3801,0.0,12499.0,Sporely Alive,15285.0,Battle Dungeon,66089.0,,Defeat the Unbound Abomination without any Rotting Spores dying in Underrot on Mythic difficulty.,,,1
3802,3802,0.0,12500.0,Underrot,15285.0,Battle Dungeon,66091.0,,Defeat the Unbound Abomination in Underrot.,12501.0,Heroic: Underrot,1
3803,3803,0.0,12501.0,Heroic: Underrot,15285.0,Battle Dungeon,66093.0,,Defeat the Unbound Abomination in Underrot on Heroic difficulty or higher.,13003.0,Mythic: Underrot Guild Run,1
3804,3804,0.0,12502.0,Mythic: Underrot,15285.0,Battle Dungeon,66095.0,,Defeat the Unbound Abomination in Underrot on Mythic difficulty.,,,1
3805,3805,0.0,12503.0,Snake Eyes,15285.0,Battle Dungeon,66104.0,,Activate both of the eyes to exit the Bazaar in the Temple of Sethraliss within 10 seconds on Mythic difficulty.,,,1
3806,3806,0.0,12504.0,The Temple of Sethraliss,15285.0,Battle Dungeon,66106.0,,Restore the Avatar of Sethraliss in the Temple of Sethraliss.,12505.0,Heroic: The Temple of Sethraliss,1
3807,3807,0.0,12505.0,Heroic: The Temple of Sethraliss,15285.0,Battle Dungeon,66108.0,,Restore the Avatar of Sethraliss in the Temple of Sethraliss on Heroic difficulty or higher.,13004.0,Mythic: The Temple of Sethraliss Guild Run,1
3808,3808,0.0,12506.0,Mythic: The Temple of Sethraliss,15285.0,Battle Dungeon,66110.0,,Restore the Avatar of Sethraliss in the Temple of Sethraliss on Mythic difficulty.,,,1
3809,3809,0.0,12507.0,Snake Eater,15285.0,Battle Dungeon,66112.0,,"Force the Solid Egg to hatch during the Merektha encounter, defeat the Solid Snake, and become the Snake Eater in the Temple of Sethraliss on Mythic difficulty.",,,1
3810,3810,0.0,12508.0,"Good Night, Sweet Prince",15285.0,Battle Dungeon,66114.0,,Restore the Avatar of Sethraliss with the Prince active in the Temple of Sethraliss on Mythic difficulty.,,,1
3813,3813,0.0,12521.0,Halls of Containment,15286.0,Battle Raid,66224.0,,Defeat the following bosses in the first section of Uldir.,,,1
3814,3814,0.0,12522.0,Crimson Descent,15286.0,Battle Raid,66228.0,,Defeat the following bosses in the depths of Uldir.,,,1
3815,3815,0.0,12523.0,Heart of Corruption,15286.0,Battle Raid,66232.0,,Defeat the following bosses and extinguish the corruption in the lowest reaches of Uldir.,,,1
3816,3816,0.0,12524.0,Mythic: Taloc,15286.0,Battle Raid,66235.0,,Defeat Taloc in Uldir on Mythic difficulty.,,,1
3817,3817,0.0,12526.0,Mythic: MOTHER,15286.0,Battle Raid,66238.0,,Defeat MOTHER in Uldir on Mythic difficulty.,,,1
3818,3818,0.0,12527.0,Mythic: Zek'voz,15286.0,Battle Raid,66241.0,,Defeat Zek'voz in Uldir on Mythic difficulty.,,,1
3819,3819,0.0,12529.0,Mythic: Vectis,15286.0,Battle Raid,66243.0,,Defeat Vectis in Uldir on Mythic difficulty.,,,1
3820,3820,0.0,12530.0,Mythic: Fetid Devourer,15286.0,Battle Raid,66250.0,,Defeat the Fetid Devourer in Uldir on Mythic difficulty.,,,1
3821,3821,0.0,12531.0,Mythic: Zul,15286.0,Battle Raid,66252.0,,Defeat Zul in Uldir on Mythic difficulty.,,,1
3822,3822,0.0,12532.0,Mythic: Mythrax the Unraveler,15286.0,Battle Raid,66255.0,,Defeat Mythrax the Unraveler in Uldir on Mythic difficulty.,,,1
3823,3823,0.0,12533.0,Mythic: G'huun,15286.0,Battle Raid,66257.0,,Defeat G'huun in Uldir on Mythic difficulty.,,,1
3826,3826,0.0,12537.0,Uldir Guild Run,15300.0,Battle Raid,66263.0,,"Defeat the bosses of Uldir on Normal difficulty or higher, while in a guild group.",,,1
3832,3832,0.0,12548.0,I'm in Charge Now!,15285.0,Battle Dungeon,66547.0,,Defeat Skycap'n Kragg after summoning and defeating Patches in Freehold on Mythic difficulty.,,,1
3833,3833,0.0,12549.0,Not a Fun Guy,15285.0,Battle Dungeon,66684.0,,"Defeat Musashitake, then defeat Sporecaller Zancha in Underrot on Mythic difficulty.",,,1
3834,3834,0.0,12550.0,Pecking Order,15285.0,Battle Dungeon,66692.0,,Serve Sharkbait his favorite meal in Freehold on Mythic difficulty.,,,1
3835,3835,0.0,12551.0,Double Dribble,15286.0,Battle Raid,66711.0,,Defeat G'huun in Uldir after having no player move while holding a Power Matrix on Normal difficulty or higher.,,,1
3855,3855,0.0,12587.0,Unbound Monstrosities,15286.0,Battle Raid,66830.0,,Defeat the following monstrous creatures on Kul Tiras and Zandalar.,,,1
3857,3857,0.0,12589.0,Heroic: Un'gol Ruins,15307.0,Island Expeditions,69278.0,,Achieve victory in an expedition to Un'gol Ruins on Heroic difficulty or higher.,12591.0,Mythic: Un'gol Ruins,1
3858,3858,0.0,12590.0,Un'gol Ruins,15307.0,Island Expeditions,69226.0,,Achieve victory in an expedition to Un'gol Ruins on any difficulty.,12589.0,Heroic: Un'gol Ruins,1
3859,3859,0.0,12591.0,Mythic: Un'gol Ruins,15307.0,Island Expeditions,69276.0,,Achieve victory in an expedition to Un'gol Ruins on Mythic difficulty.,,,1
3860,3860,0.0,12592.0,Ruined the Ruins,15307.0,Island Expeditions,69274.0,,Achieve victory in an expedition to Un'gol Ruins in PvP.,,,1
3861,3861,0.0,12594.0,Competent Captain,15307.0,Island Expeditions,66895.0,,Win 20 Island Expeditions on Heroic difficulty or higher.,12595.0,Expert Expeditioner,1
3862,3862,0.0,12595.0,Expert Expeditioner,15307.0,Island Expeditions,66897.0,,Win 50 Island Expeditions on Mythic difficulty.,,,1
3863,3863,0.0,12596.0,No Tourist,15307.0,Island Expeditions,66899.0,,Win 10 Island Expeditions on Normal difficulty or higher.,12594.0,Competent Captain,1
3864,3864,0.0,12597.0,Bayside Brawler,15307.0,Island Expeditions,66901.0,,Win 10 Island Expeditions in PvP.,13120.0,Blood in the Water,1
3865,3865,0.0,12600.0,Breath of the Shrine,15285.0,Battle Dungeon,67050.0,,Light the ceremonial fires within the temple using the Shrine's Breath in Shrine of the Storm on Mythic difficulty.,,,1
3866,3866,0.0,12601.0,The Void Lies Sleeping,15285.0,Battle Dungeon,67052.0,,Defeat Lord Stormsong without coming into contact with any Awoken Void in Shrine of the Storm on Mythic difficulty.,,,1
3867,3867,0.0,12602.0,Trust No One,15285.0,Battle Dungeon,67056.0,,Defeat Vol'zith the Whisperer while all party members are afflicted with Maddening Dreams in Shrine of the Storm on Mythic difficulty.,,,1
3870,3870,0.0,12721.0,Wrap God,15285.0,Battle Dungeon,68636.0,,Defeat Mchimba the Embalmer without him finishing a cast of Open Coffin and with entombed players using Struggle no more than once per cast of Entomb on Mythic Difficulty.,,,1
3871,3871,0.0,12722.0,It Belongs in a Mausoleum!,15285.0,Battle Dungeon,68417.0,,Find four ancient trinkets in Kings' Rest on Mythic difficulty.,,,1
3872,3872,0.0,12723.0,How to Keep a Mummy,15285.0,Battle Dungeon,69673.0,,Free Miimii the Mummy in Kings' Rest on Mythic difficulty.,,,1
3873,3873,0.0,12726.0,A Fish Out of Water,15285.0,Battle Dungeon,67345.0,,Kick fifteen Gasping Flounders back into the water then defeat Viq'Goth in the Siege of Boralus on Mythic difficulty.,,,1
3874,3874,0.0,12727.0,Stand by Me,15285.0,Battle Dungeon,67347.0,,Never let Dread Captain Lockwood leap away while she has the evasive aura before defeating her in the Siege of Boralus on Mythic difficulty.,,,1
3903,3903,0.0,12772.0,Now We Got Bad Blood,15286.0,Battle Raid,67658.0,,Defeat Vectis in Uldir after infecting Warmother Rakkali with Plague Bomb then defeating her on Normal difficulty or higher.,,,1
3904,3904,0.0,12823.0,Thrash Mouth - All Stars,15286.0,Battle Raid,67763.0,,Defeat the Fetid Devourer in Uldir after having all players hit by Terrible Thrash at least once on Normal difficulty or higher.,,,1
3905,3905,0.0,12824.0,Atal'Dazar,15285.0,Battle Dungeon,67765.0,,Defeat Yazma in Atal'Dazar,12825.0,Heroic: Atal'Dazar,1
3906,3906,0.0,12825.0,Heroic: Atal'Dazar,15285.0,Battle Dungeon,67767.0,,Defeat Yazma in Atal'Dazar on Heroic difficulty or higher.,13002.0,Mythic: Atal'Dazar Guild Run,1
3907,3907,0.0,12826.0,Mythic: Atal'Dazar,15285.0,Battle Dungeon,67769.0,,Defeat Yazma in Atal'Dazar on Mythic difficulty.,,,1
