importance,name,category
0.008316002586214679, Medium Rare, Outland
0.0072312704601469515, Northern Exposure, Northrend
0.006668283470198874, The Nightfallen, Legion
0.006468682704370295, Working For a Living, Professions
0.005766668821287437, Working in Draenor, Professions
0.005390705722897072, 1000 Valor Points, Currencies
0.00520793208950392, 500 Daily Quests Completed, Quests
0.005085996320170218, Following Up, Draenor Garrison
0.004919899571391209, Heroic: The Violet Hold, Lich King Dungeon
0.0048528539442092835, Highmountain Tribe, Legion
0.004621303675065986, 1000 Daily Quests Completed, Quests
0.004549415673765121, Professional Draenor Master, Professions
0.0044818505867298495, Patrol Mission Specialist, Draenor Garrison
0.004152542767081439, Friends in a Broken Land, Legion
0.004004534483648201, Champions of Azeroth, Battle for Azeroth
0.003966089884213658, Tortollan Seekers, Battle for Azeroth
0.0038207203601099337, Professional Legion Master, Professions
0.003780376849274317, Professional Zen Master, Professions
0.003723596882169205, 5000 Valor Points, Currencies
0.0036912635294098746, A Glorious Campaign, Legion Class Hall
0.0036278670375827667, 1000 Honorable Kills, Player vs. Player
0.003545996395452182, 200 Daily Quests Completed, Quests
0.0034118151777038064, 5000 Honorable Kills, Player vs. Player
0.0032880234809725796," I Choose You, Steelbreaker", Lich King Raid
0.0032796836878841397, The Argent Crusade, Wrath of the Lich King
0.003122832707102201, The Kirin Tor, Wrath of the Lich King
0.0030608166288555727, You Are Now Prepared!, Legion
0.003019324780701503, Heartbreaker, Lich King Raid
0.00278706234790545, Legionfall Commander, Legion
0.0027440982903470263, The Siege of Ulduar, Lich King Raid
0.002700771231075363, The Anglers, Pandaria
0.0026219899005092543, The Antechamber of Ulduar, Lich King Raid
0.0025755445543627466, Armies of Legionfall, Legion
0.0025749861981142473, Protector of the Argussian Reach, Legion
0.002506837714593243, Raising the Bar, Draenor Garrison
0.0024979897556119015, Power Up, Heart of Azeroth
0.0024622418481480652, The Wyrmrest Accord, Wrath of the Lich King
0.002460608919094628, 500 Honorable Kills, Player vs. Player
0.0023879174723432763, Officer of the Light, Legion
0.0023699573924828394, The Descent into Madness, Lich King Raid
0.0023646436306118605, Got My Mind On My Money, Character
0.0022849856769856206, The Keepers of Ulduar, Lich King Raid
0.0022431456711195564, Thanks For The Mementos, Visions of N'Zoth
0.0021821418174135993, Order of the Cloud Serpent, Pandaria
0.0021637125691886354, Got My Mind On My Money, Character
0.0021301831186401727, 10000 Honorable Kills, Player vs. Player
0.002119719143682872, The Ashen Verdict, Wrath of the Lich King
0.002117043485244541, Stokin' the Furnace, Lich King Raid
0.0020074293257386034, Disarmed, Lich King Raid
0.001969512627478937, You're So Offensive, The Burning Crusade
0.0019498313546192955, Knights of the Ebon Blade, Wrath of the Lich King
0.0019174421116666333, Orbit-uary, Lich King Raid
0.0018873318284985357, I Love the Smell of Saronite in the Morning, Lich King Raid
0.0018408216481558726, Got My Mind On My Money, Character
0.0018238312822110637, Ramkahen, Cataclysm
0.0018236447578702784, 100 Honorable Kills, Player vs. Player
0.0017745728953443773, Horrific Vision of Stormwind, Visions of N'Zoth
0.0017454162298070795, Horrific Vision of Orgrimmar, Visions of N'Zoth
0.0017407794248061445, The Golden Lotus, Pandaria
0.0017362580806128663, The Lorewalkers, Pandaria
0.0017200924601174568, The Guardians of Hyjal, Cataclysm
0.0017192149509010725, Rustbolt Rebellion, Battle for Azeroth
0.0017035690941037158, The Violet Eye, The Burning Crusade
0.001648237376922112, Flying High Over Skettis, The Burning Crusade
0.0016333653113968615, The Heart Forge, Heart of Azeroth
0.0016249944863737035, Power Creep, Heart of Azeroth
0.0015265767413909035, Defend the Vale, Battle for Azeroth
0.001524547556756825," Iron Dwarf, Medium Rare", Lich King Raid
0.0015136242124720112, Therazane, Cataclysm
0.0014699366664469803, Uldum Under Assault, Battle for Azeroth
0.0014571339186039579, Sworn to the Deathsworn, The Burning Crusade
0.0014558301848898094, Shado-Pan, Pandaria
0.0014308154302726805, The Argent Dawn, Classic
0.0013961856185221672, Memento Mori, Visions of N'Zoth
0.001373870895189244, On Wings of Nether, The Burning Crusade
0.0012828820608819572, Avengers of Hyjal, Cataclysm
0.001270478156530105, Arakkoa Outcasts, Draenor
0.0012651715280938367, Item Level Army, Draenor Garrison
0.0012288705642994463, Keystone Master, Dungeons & Raids
0.001209015652908167, Crazy Cat Lady, Lich King Raid
0.0011732974577911726, I Could Say That This Cache Was Rare, Lich King Raid
0.0011238034316940356, Klaxxi, Pandaria
0.0011013342686987083, The Tillers, Pandaria
0.0010568096892178496, Epic, Character
0.0010456522266701785, Superior, Character
0.001023686636268895, Firefighter, Lich King Raid
0.0010226564457304838, Pure of Heart, Heart of Azeroth
0.0009694389748137782, Vision of Destiny, Battle Raid
0.0009480665163469264, Working the Isles, Professions
0.0009478036852886249, Time Flies When You're Having Fun, Reputation
0.0009034500904693686, Power Is Beautiful, Heart of Azeroth
0.0009020664837055685, My Heart Container is Full, Heart of Azeroth
0.0008939865060260317, The Argent Champion, Reputation
0.0008718724262343326, Explore Nazjatar, Battle for Azeroth
0.0008541389101881819, Shado-Pan Assault, Pandaria
0.0008509335001489718, Shattrath Divided, The Burning Crusade
0.0008427976593578514, Got My Mind On My Money, Character
0.0008258913738297119," 50,000 Valor Points", Currencies
0.0008154485447282798, Northrend Vanguard, Wrath of the Lich King
0.0008073271602998761, One Light in the Darkness, Lich King Raid
0.0007952040675544107, Explore Tiragarde Sound, Battle for Azeroth
0.0007838483355889919, A Monumental Amount of Mementos, Visions of N'Zoth
0.0007754974220212868, Going Down?, Exploration
0.0007736738057689973, Halls of Containment, Battle Raid
0.0007699459923521948, The August Celestials, Pandaria
0.0007631499130188721," Knock, Knock, Knock on Wood", Lich King Raid
0.0007630706051829583, Crashin' Thrashin' Flamer, Events
0.0007535007332783268, 50 Daily Quests Completed, Quests
0.0007421681171870235, Guardian of Cenarius, Reputation
0.0007316494233599366, Training the Troops, Legion Class Hall
0.0007134181955148266, WoW's 14th Anniversary, Events
0.0006956825860338738, The Even More Horrific Vision of Orgrimmar, Visions of N'Zoth
0.0006885745178262176, Tanaan Diplomat, Draenor
0.0006871697683948078, The Corruptor's End, Battle for Azeroth
0.0006855375235713951, Explore Drustvar, Battle for Azeroth
0.0006838726300791301, The Winds of the North, Wrath of the Lich King
0.0006821640388117231, Chief Exalted Officer, The Burning Crusade
0.0006811314366843775, The Czar of Sporeggar, The Burning Crusade
0.0006589489879942159, WoW's 15th Anniversary, Events
0.0006485573356785723, Storm's Wake, Battle for Azeroth
0.0006434638309096133, Shrine of the Storm, Battle Dungeon
0.0006347079350846172, Working In the Cold, Professions
0.0006308485339277933, Proudmoore Admiralty, Battle for Azeroth
0.0006203878580965569, Professional Kul Tiran Master, Professions
0.0006178278939721131, Treasure Hunter, Draenor
0.0006120647005528125," 25,000 Valor Points", Currencies
0.0006120470704130426, Justly Rewarded, Quests
0.0006089282450532544, The MOTHERLODE!!, Battle Dungeon
0.0006086968298078285, A Simple Re-Quest, Quests
0.0006078339997087202, Tough Love, Love is in the Air
0.0006071058994824994, Waycrest Manor, Battle Dungeon
0.0006039231228060078, Professional Northrend Master, Professions
0.0005971809602371554, Waveblade Ankoan, Battle for Azeroth
0.0005936530602077837, Masked Soliloquy, Visions of N'Zoth
0.0005931068960302806, Tol Dagor, Battle Dungeon
0.0005909892173309553, Ambassador of the Alliance, Reputation
0.0005882920614866605, The Even More Horrific Vision of Stormwind, Visions of N'Zoth
0.0005866908051717067, 500 Quests Completed, Quests
0.0005860571073421042, Working In the Heat, Professions
0.0005824807275402491, Getting Back to Nature, Lich King Raid
0.0005764403993054488, The Temple of Sethraliss, Battle Dungeon
0.000571987081109374, The Scale of the Sands, The Burning Crusade
0.0005719207665333432, Brood of Nozdormu, Classic
0.0005704699421331292, Professional Cataclysmic Master, Professions
0.0005692265143674918, My Dubs, Island Expeditions
0.0005685774895905167, Working in Kul Tiras, Professions
0.0005677220131569776, Champion of the 7th Legion, Battle for Azeroth
0.0005677082227172802, The Bread Winner, Quests
0.0005628178801364365, Tanaan Diplomat, Draenor
0.0005627146927751982, Freehold, Battle Dungeon
0.0005572991782630197, Explore Stormsong Valley, Battle for Azeroth
0.0005563595082232676, Hero of the Zandalar Tribe, Legacy
0.0005560190511704974, Heroic: Atal'Dazar, Battle Dungeon
0.0005535402525218542, Battlefield Brawler, Honor
0.0005519085648098637, 1000 Quests Completed, Quests
0.0005508499987087065, Atal'Dazar, Battle Dungeon
0.000549143065833691, Metal Detector, Island Expeditions
0.0005483270772357799, Mission Accomplished, World
0.0005480531781605996, 2000 Quests Completed, Quests
0.0005395071618649547, Looking For Many, Dungeons & Raids
0.0005346424880171462, Explore Nazmir, Battle for Azeroth
0.0005307060803087484, Explore Zuldazar, Battle for Azeroth
0.0005306089174350608, Heroic: Freehold, Battle Dungeon
0.0005293437190730623, Explore Mechagon, Battle for Azeroth
0.0005246368092753555, Holy Scrap!, Professions
0.0005197126433699621, A Mountain of Mementos, Visions of N'Zoth
0.0005183465773106569, Explore Vol'dun, Battle for Azeroth
0.0005151686230422356, Heroic: Underrot, Battle Dungeon
0.000508881190563074, Giving a Scrap, Professions
0.0005078802434436374, Professional Zandalari Master, Professions
0.0005076991933281243, Leyline Bling, Legion
0.0005075825574951505, Halls of Devotion, Battle Raid
0.0005072553832806722, The Spellweaver's Downfall (25 player), Lich King Raid
0.0005061734676351017, Bloodmaul Slag Mines, Draenor Dungeon
0.0005054106262412973, The Earthen Ring, Cataclysm
0.0005047804589203131, A Quest a Day Keeps the Ogres at Bay, The Burning Crusade
0.0005013632862177566, Raise an Army, Legion Class Hall
0.0004962841199179573, Off the Top Rook, World
0.0004961892659519398, Masked Trio, Visions of N'Zoth
0.000493049411330611, Horrific Masquerade, Visions of N'Zoth
0.0004920579631998772, Tuskarrmageddon, Wrath of the Lich King
0.0004920423231149645, Underrot, Battle Dungeon
0.0004846819629555037, Saddle Sore, World
0.00048181147681419957, The Grim Reaper, Player vs. Player
0.0004793020510796561, Ain't No Mountain High Enough, Legion
0.00047827549124290937, That Takes Class, Player vs. Player
0.00047827201510822697, The Waking Dream, Battle Raid
0.00047677915161055705, That's Val'sharah Folks!, Legion
0.0004765552656261456, The Winds of the North, Wrath of the Lich King
0.0004758778048120539, Siege of Boralus, Battle Dungeon
0.00047488224523580295, Explore Argus, Legion
0.00047363208359211596, The Darkbrul-oh, World
0.0004733527344567995, Battle for Azeroth Keymaster, Battle Dungeon
0.00047233739486939605, Emperor Shaohao, Pandaria
0.00047199676891568294, Mythic: The MOTHERLODE!!, Battle Dungeon
0.000471296110363085, Mythic: Underrot, Battle Dungeon
0.0004705891157531589, Hydraxian Waterlords, Classic
0.00046863710580159805, 1500 Quests Completed, Quests
0.0004677232251496194, Frenzyheart Tribe, Wrath of the Lich King
0.0004649375769076219, Azsuna Matata, Legion
0.0004643521456850339, Masked Duet, Visions of N'Zoth
0.00046270386888202467, Looking For More, Dungeons & Raids
0.0004604043441982927," Come One, Come All!", Darkmoon Faire
0.0004585108106669616, Gift of Flesh, Battle Raid
0.0004582460669667032, The Old Gnome and the Sea, Fishing
0.000457677004770561, Warsong Gulch Victory, Warsong Gulch
0.00045609237723793724, Heroic: Tol Dagor, Battle Dungeon
0.0004555605032854276, Champion of the Honorbound, Battle for Azeroth
0.00045312422382180745, Wrynn's Vanguard, Ashran
0.0004518643075344213, Heroic: Waycrest Manor, Battle Dungeon
0.00045115125383036325, Auchindoun, Draenor Dungeon
0.0004497547474835358, Breaking the Sound Barrier, Character
0.00044952326192510613, 50 Fish, Fishing
0.0004485681648072803, They Love Me In That Tunnel, Classic
0.0004475739666117666, Stormstout Brewery, Pandaria Dungeon
0.0004465634732426633, Safe Deposit, Character
0.0004448268846511854, Whispering Reef, Island Expeditions
0.0004441944869884004, Skyreach, Draenor Dungeon
0.0004439072871607798, Council of Exarchs, Draenor
0.00044217965403347257, Shadowmoon Burial Grounds, Draenor Dungeon
0.00044185586119284024, Damage Control, Player vs. Player
0.0004411499520285557, Heroic: The MOTHERLODE!!, Battle Dungeon
0.0004409269337520235, Professional Classic Master, Professions
0.0004403298597208002, Keystone Challenger, Dungeons & Raids
0.0004375178288164271, Nerf Engineering, Lich King Raid
0.0004364677329973985, Explore Broken Shore, Legion
0.00043631644936580516, Professional Journeyman, Professions
0.00043620022452841965, There's a Boss In There, Dungeons
0.00043500985280118236, Mythic: Tol Dagor, Battle Dungeon
0.0004349628952332078, Kings' Rest, Battle Dungeon
0.00043289985836392924, Crimson Descent, Battle Raid
0.0004322825233217097, Keystone Conqueror, Dungeons & Raids
0.0004318027000856641, Mythic: Freehold, Battle Dungeon
0.0004314844705971818, Heroic: The Temple of Sethraliss, Battle Dungeon
0.00043122788315495895, Fighting with Style: Classic, Legion Class Hall
0.0004303924384456648, Mythic: Atal'Dazar, Battle Dungeon
0.00043005941921480057, Exploration Mission Specialist, Draenor Garrison
0.0004298589827902556, Mythic: The Temple of Sethraliss, Battle Dungeon
0.0004293070852661929, Steamwheedle Preservation Society, Draenor
0.0004290893236900391, Temple of Kotmogu Victory, Temple of Kotmogu
0.0004288947098343707, We Have the Technology, Visions of N'Zoth
