,player,realm,gear_score,last_login,time_since_login,engagement,status,Alterac Valley,Arathi Basin,Archaeology,Arena,Argent Tournament,Ashran,Battle Dungeon,Battle Raid,Battle for Azeroth,Battle for Gilneas,Battlegrounds,Brawler's Guild,Brewfest,Cataclysm,Cataclysm Dungeon,Cataclysm Raid,Character,Children's Week,Classic,Collections,Cooking,Currencies,Darkmoon Faire,Deepwind Gorge,Draenor,Draenor Dungeon,Draenor Garrison,Draenor Raid,Dungeons,Dungeons & Raids,Eastern Kingdoms,Events,Expansion Features,Exploration,Eye of the Storm,Feats of Strength,Fishing,General,Guild Feats of Strength,Hallow's End,Heart of Azeroth,Honor,Island Expeditions,Isle of Conquest,Kalimdor,Legacy,Legion,Legion Class Hall,Legion Dungeon,Legion Raid,Lich King Dungeon,Lich King Raid,Love is in the Air,Lunar Festival,Midsummer,Mounts,Noblegarden,Northrend,Outland,Pandaria,Pandaria Dungeon,Pandaria Raid,Pandaria Scenarios,Pet Battles,Pilgrim's Bounty,Player vs. Player,Professions,Promotions,Quests,Raids,Rated Battleground,Reputation,Seething Shore,Silvershard Mines,Temple of Kotmogu,The Burning Crusade,Tol Barad,Twin Peaks,Visions of N'Zoth,War Effort,Warsong Gulch,Winter Veil,Wintergrasp,World,World Events,Wrath of the Lich King
0,airgeyser,proudmoore,384.0,2020-05-19,17 days 00:00:00.000000000,0.0,active,2,1,14,4,5,2,6,18,26,0,0,3,3,11,0,1,25,0,13,1,10,3,13,0,11,2,7,3,5,1,2,4,0,0,0,38,3,0,0,5,2,0,4,0,0,10,8,2,0,2,5,19,4,0,3,5,4,3,2,14,11,1,0,0,0,24,13,1,12,5,1,4,1,0,0,13,0,1,0,3,1,1,0,5,0,11
1,bellabuns,proudmoore,438.0,2020-03-21,76 days 00:00:00.000000000,1.0,risk,1,1,10,1,0,2,29,19,20,0,0,3,0,2,9,0,22,0,2,0,1,0,12,0,7,2,4,3,5,5,2,3,0,1,0,38,2,0,0,0,5,0,2,0,0,9,7,3,0,1,0,0,0,0,2,5,1,0,1,11,10,1,0,0,0,21,9,1,6,3,1,2,1,0,0,10,0,1,0,3,1,0,0,5,0,4
2,khaylo,proudmoore,411.0,2019-12-02,186 days 00:00:00.000000000,1.0,risk,1,1,10,1,0,2,28,20,27,0,0,3,0,2,9,0,23,0,2,0,1,0,12,0,7,2,4,3,5,4,2,3,2,1,0,38,2,0,0,0,5,0,2,0,0,9,13,7,0,11,0,0,0,0,2,5,1,0,1,11,14,1,0,0,0,21,10,1,7,3,1,2,1,0,0,10,0,1,0,4,1,0,0,5,0,4
3,tharivool,proudmoore,421.0,2020-06-06,-1 days +00:00:00.000000000,0.0,active,1,1,10,1,0,2,18,20,25,0,0,3,0,9,2,12,25,0,16,0,1,4,13,0,9,14,8,25,5,5,1,2,0,1,0,38,1,0,0,0,3,0,11,0,0,5,11,5,0,47,9,41,0,0,2,5,1,1,2,14,16,4,0,0,0,23,11,1,14,2,1,5,1,0,0,10,0,1,0,4,1,0,0,4,0,11
4,tgsmokey,proudmoore,420.0,2020-01-12,145 days 00:00:00.000000000,1.0,risk,3,3,10,5,0,7,26,31,40,2,2,5,1,8,11,14,28,0,5,0,14,7,12,1,8,11,18,38,6,6,4,10,3,1,4,38,15,0,0,1,4,0,25,5,1,6,23,14,34,51,10,82,2,4,2,5,0,0,1,14,20,46,2,0,0,39,23,1,16,12,1,3,1,2,4,11,1,5,0,6,5,3,1,7,0,5
5,yareij,proudmoore,455.0,2020-06-16,-11 days +00:00:00.000000000,0.0,active,2,1,10,1,0,5,12,5,27,1,1,4,1,8,10,11,26,0,3,0,0,5,12,0,9,4,5,23,6,0,1,5,0,1,0,38,2,0,0,0,5,0,1,2,0,5,11,2,4,35,7,20,0,0,2,5,0,0,2,13,17,29,2,0,0,22,15,1,12,3,1,3,1,0,1,11,1,3,5,1,1,0,0,7,0,8
6,oretenbro,proudmoore,448.0,2020-06-09,-4 days +00:00:00.000000000,0.0,active,2,0,10,0,0,2,18,4,21,0,0,4,0,8,1,11,25,0,12,0,1,4,14,0,7,3,3,23,5,3,1,6,0,1,0,38,10,0,0,3,6,0,6,1,0,5,10,3,6,35,8,18,1,1,2,5,0,1,2,13,5,25,2,0,0,24,11,1,9,2,1,3,1,0,0,15,0,1,4,1,1,0,0,6,0,10
7,connorpriest,proudmoore,407.0,2020-06-12,-7 days +00:00:00.000000000,0.0,active,2,2,1,0,0,2,1,1,21,1,0,2,0,8,0,0,25,0,9,0,0,4,13,1,7,2,4,2,4,0,4,1,0,1,2,38,0,0,0,0,2,2,0,1,0,5,8,2,1,1,6,13,0,2,1,5,0,1,2,13,6,0,2,0,0,26,11,1,12,2,1,5,1,1,1,14,0,4,0,1,4,0,0,7,0,10
8,rágs,proudmoore,423.0,2020-06-12,-7 days +00:00:00.000000000,0.0,active,2,1,1,0,0,2,7,5,23,0,0,1,0,9,2,0,25,0,3,0,0,4,12,0,8,11,4,0,4,2,2,2,1,1,0,38,0,0,0,0,2,0,15,1,0,5,8,4,1,0,3,13,4,0,1,5,0,1,2,13,0,1,2,0,0,20,12,1,10,1,1,4,0,0,0,16,0,2,0,4,1,0,0,5,0,10
9,cubansalad,proudmoore,446.0,2020-05-29,7 days 00:00:00.000000000,0.0,active,4,2,1,4,0,3,22,8,21,1,1,1,0,9,0,0,26,0,4,0,0,7,13,1,7,6,10,2,4,4,3,4,1,1,3,38,2,0,0,2,4,0,18,2,0,6,7,4,6,0,1,17,1,0,1,5,0,1,2,15,14,3,2,0,0,34,10,1,10,1,14,3,1,2,4,11,1,4,3,5,3,0,0,5,0,10
