importance,name,category
0.03642103754444695, Rustbolt Rebellion, Battle for Azeroth
0.010034979074682171, Waveblade Ankoan, Battle for Azeroth
0.007394899241371395, The Unshackled, Battle for Azeroth
0.007120127044205259, The Heart Forge, Heart of Azeroth
0.0068742343139909364, Power Up, Heart of Azeroth
0.004875056490097989, Power Creep, Heart of Azeroth
0.004845668090791796, Tortollan Seekers, Battle for Azeroth
0.004241948054727921, Champions of Azeroth, Battle for Azeroth
0.0032175896617613674, WoW's 15th Anniversary, Events
0.0030909254195430396, Level 120, Character
0.0030497459018973484, Horrific Vision of Stormwind, Visions of N'Zoth
0.0029296782580176626, Horrific Vision of Orgrimmar, Visions of N'Zoth
0.0029054590673539, Thanks For The Mementos, Visions of N'Zoth
0.0029024963677790673, Explore Nazjatar, Battle for Azeroth
0.002729710295487735, Superior, Character
0.0025473476850819184, The Voldunai, Battle for Azeroth
0.0023296175361271656, Zandalari Empire, Battle for Azeroth
0.0023088863131525313, Proudmoore Admiralty, Battle for Azeroth
0.0022788775311987724, Working in Kul Tiras, Professions
0.0022136018303931344, My Heart Container is Full, Heart of Azeroth
0.0021024527731737554, Working in Zandalar, Professions
0.0020692642159818096, Talanji's Expedition, Battle for Azeroth
0.0020461674496086144, Uldum Under Assault, Battle for Azeroth
0.0020277758481080294, Explore Mechagon, Battle for Azeroth
0.001975584827573899, Champion of the Honorbound, Battle for Azeroth
0.001964278680848373, War for the Shore, War Effort
0.001960765504029922, Champion of the 7th Legion, Battle for Azeroth
0.0019451350535638228, Have a Heart, Heart of Azeroth
0.0018689004111081583, Epic, Character
0.0018455610692045643, War for the Shore, War Effort
0.0018369478520435757, Professional Zandalari Master, Professions
0.001824766201484415, Memento Mori, Visions of N'Zoth
0.0018221115312324402, Come Sail Away, Battle for Azeroth
0.0017829420733607366, Under Cover of Darkness, War Effort
0.0017720234575975009, Welcome to Zandalar, Battle for Azeroth
0.0017650903279812222, Crashin' Splashin', Events
0.00171819446564537, A Monumental Amount of Mementos, Visions of N'Zoth
0.0016905439329828412, Professional Kul Tiran Master, Professions
0.0016739125066682714, Death's Bargain, Battle Raid
0.0016643755625257788, Giving a Scrap, Professions
0.0016578776112881263, Explore Tiragarde Sound, Battle for Azeroth
0.0016431198144372717, Defend the Vale, Battle for Azeroth
0.0016389358485210414, Might of the Alliance, Battle Raid
0.0016360397540184396, Explore Stormsong Valley, Battle for Azeroth
0.001624885523605837, Explore Nazmir, Battle for Azeroth
0.0016081445227497885, Order of Embers, Battle for Azeroth
0.001580445507391331, Fighting with Style: War-torn, Legion Class Hall
0.0015612322170453054, Tides of Vengeance, Battle for Azeroth
0.0015597994462511872, Combatant: Battle for Azeroth Season 2, Player vs. Player
0.0015589833092094563, Storm's Wake, Battle for Azeroth
0.0015484771500476704, Darkmoon Race Enthusiast, Darkmoon Faire
