importance,name,category
0.03642103754444700, Rustbolt Rebellion, Battle for Azeroth
0.010034979074682200, Waveblade Ankoan, Battle for Azeroth
0.007394899241371400, The Unshackled, Battle for Azeroth
0.007120127044205260, The Heart Forge, Heart of Azeroth
0.0068742343139909400, Power Up, Heart of Azeroth
0.004875056490097990, Power Creep, Heart of Azeroth
0.004845668090791800, Tortollan Seekers, Battle for Azeroth
0.004241948054727920, Champions of Azeroth, Battle for Azeroth
0.0030497459018973500, Horrific Vision of Stormwind, Visions of N'Zoth
0.0029296782580176600, Horrific Vision of Orgrimmar, Visions of N'Zoth
0.0029054590673539, Thanks For The Mementos, Visions of N'Zoth
0.0029024963677790700, Explore Nazjatar, Battle for Azeroth
0.002729710295487740, Superior, Character
0.0025473476850819200, The Voldunai, Battle for Azeroth
0.0023296175361271700, Zandalari Empire, Battle for Azeroth
0.0023088863131525300, Proudmoore Admiralty, Battle for Azeroth
0.0022788775311987700, Working in Kul Tiras, Professions
0.0022136018303931300, My Heart Container is Full, Heart of Azeroth
0.0021024527731737600, Working in Zandalar, Professions
0.0020692642159818100, Talanji's Expedition, Battle for Azeroth
0.0020461674496086100, Uldum Under Assault, Battle for Azeroth
0.0020277758481080300, Explore Mechagon, Battle for Azeroth
0.001975584827573900, Champion of the Honorbound, Battle for Azeroth
0.001964278680848370, War for the Shore, War Effort
0.001960765504029920,Champion of the 7th Legion, Battle for Azeroth
0.0019451350535638200, Have a Heart, Heart of Azeroth
0.0018689004111081600, Epic, Character
0.0018455610692045600, War for the Shore, War Effort
0.0018369478520435800, Professional Zandalari Master, Professions
0.001824766201484420, Memento Mori, Visions of N'Zoth
0.0018221115312324400, Come Sail Away, Battle for Azeroth
0.0017829420733607400, Under Cover of Darkness, War Effort
0.0017720234575975000, Welcome to Zandalar, Battle for Azeroth
0.0017650903279812200, Crashin' Splashin', Events
0.00171819446564537, A Monumental Amount of Mementos, Visions of N'Zoth
0.0016905439329828400, Professional Kul Tiran Master, Professions
0.0016739125066682700, Death's Bargain, Battle Raid
0.0016643755625257800, Giving a Scrap, Professions
0.0016578776112881300, Explore Tiragarde Sound, Battle for Azeroth
0.0016431198144372700, Defend the Vale, Battle for Azeroth
0.0016389358485210400, Might of the Alliance, Battle Raid
