important_features,category
9231, Player vs. Player
10117, Player vs. Player
10116, Player vs. Player
10115, Player vs. Player
10113, Player vs. Player
10112, Player vs. Player
10111, Player vs. Player
10110, Player vs. Player
10109, Player vs. Player
10118, Player vs. Player
10108, Player vs. Player
10107, Player vs. Player
10106, Player vs. Player
10105, Player vs. Player
10104, Player vs. Player
10103, Player vs. Player
10102, Player vs. Player
10101, Player vs. Player
10100, Player vs. Player
582, Alterac Valley
10099, Player vs. Player
10119, Player vs. Player
10121, Player vs. Player
12187, Player vs. Player
12188, Player vs. Player
12189, Player vs. Player
12190, Player vs. Player
12191, Player vs. Player
12192, Player vs. Player
12194, Player vs. Player
12195, Player vs. Player
10120, Player vs. Player
12196, Player vs. Player
11004, Player vs. Player
11003, Player vs. Player
10853, Expansion Features
10852, Expansion Features
10765, Legacy
10764, Legacy
10599, Professions
10580, Professions
11011, Player vs. Player
12186, Player vs. Player
10098, Player vs. Player
10096, Player vs. Player
9502, Draenor
1685, Winter Veil
12862, World
1686, Winter Veil
1687, Winter Veil
1699, Love is in the Air
1704, Love is in the Air
9242, Player vs. Player
9505, Professions
9241, Player vs. Player
9239, Player vs. Player
9232, Player vs. Player
12874, War Effort
9230, Player vs. Player
1785, Cooking
1786, Children's Week
1788, Children's Week
1800, Cooking
9240, Player vs. Player
10097, Player vs. Player
9506, Professions
9601, Draenor
10001, Player vs. Player
10000, Player vs. Player
9998, Player vs. Player
560, Raids
9997, Player vs. Player
9996, Player vs. Player
557, Legacy
556, Legacy
9566, Events
9995, Player vs. Player
9729, Events
1244, Exploration
9708, Legacy
9707, Legacy
9635, Draenor
1279, Love is in the Air
1280, Love is in the Air
9618, Events
1206, Eastern Kingdoms
12185, Player vs. Player
12183, Player vs. Player
12179, Player vs. Player
11046, Player vs. Player
11387, Raids
11045, Player vs. Player
11044, Player vs. Player
11042, Player vs. Player
705, Legacy
11041, Player vs. Player
11040, Player vs. Player
11047, Player vs. Player
11039, Player vs. Player
11037, Player vs. Player
11698, Player vs. Player
11036, Player vs. Player
11035, Player vs. Player
11034, Player vs. Player
11033, Player vs. Player
691, Raids
11032, Player vs. Player
11038, Player vs. Player
11031, Player vs. Player
11048, Player vs. Player
11049, Player vs. Player
11054, Player vs. Player
11055, Player vs. Player
11057, Player vs. Player
11058, Player vs. Player
11059, Player vs. Player
11060, Player vs. Player
11061, Player vs. Player
11062, Player vs. Player
11261, Legion
11051, Player vs. Player
11166, Player vs. Player
11167, Player vs. Player
11168, Player vs. Player
11169, Player vs. Player
11170, Player vs. Player
11175, Legion
11050, Player vs. Player
11221, Legion Class Hall
11165, Player vs. Player
688, Raids
11029, Player vs. Player
11028, Player vs. Player
12071, Expansion Features
11015, Player vs. Player
11014, Player vs. Player
12134, Player vs. Player
12167, Player vs. Player
12168, Player vs. Player
12169, Player vs. Player
12170, Player vs. Player
12045, Player vs. Player
12171, Player vs. Player
12173, Player vs. Player
11013, Player vs. Player
12174, Player vs. Player
11012, Player vs. Player
12175, Player vs. Player
12176, Player vs. Player
12177, Player vs. Player
12178, Player vs. Player
12172, Player vs. Player
12044, Player vs. Player
12043, Player vs. Player
12042, Player vs. Player
11027, Player vs. Player
11026, Player vs. Player
11025, Player vs. Player
11024, Player vs. Player
11023, Player vs. Player
11022, Player vs. Player
11021, Player vs. Player
12010, Player vs. Player
12034, Player vs. Player
12035, Player vs. Player
12036, Player vs. Player
11020, Player vs. Player
11019, Player vs. Player
12038, Player vs. Player
11017, Player vs. Player
12039, Player vs. Player
11016, Player vs. Player
12040, Player vs. Player
12041, Player vs. Player
1871, Lich King Dungeon
11053, Player vs. Player
1956, Northrend
3316, Raids
3845, Isle of Conquest
6939, Player vs. Player
4079, Raids
4080, Raids
4156, Raids
