Season,Title,Gladiator Mount,Start Date (NA),End Date (NA),Duration,Notes,,,
Season 1, [Gladiator], [Swift Nether Drake],January 30, 2007,June 19, 2007,20 weeks,Introduced with The Burning Crusade,
Season 2, [Merciless Gladiator], [Merciless Nether Drake],June 20, 2007,November 26, 2007,23 weeks,,
Season 3, [Vengeful Gladiator], [Vengeful Nether Drake],November 28, 2007,June 23, 2008,29 weeks, ,
Season 4, [Brutal Gladiator], [Brutal Nether Drake],June 24, 2008,October 14, 2008,17 weeks,Last arena season of The Burning Crusade,
Season 5, [Deadly Gladiator], [Deadly Gladiator's Frost Wyrm],December 16, 2008,April 14, 2009,17 weeks,Began four weeks after the launch of Wrath of the Lich King,
Season 6, [Furious Gladiator], [Furious Gladiator's Frost Wyrm],April 21, 2009,August 25, 2009,18 weeks,Began one week after Patch 3.1.0,
Season 7, [Relentless Gladiator], [Relentless Gladiator's Frost Wyrm],September 1, 2009,January 19, 2010,20 weeks,End corresponded with the opening of the Crimson Hall in Icecrown Citadel,
Season 8, [Wrathful Gladiator], [Wrathful Gladiator's Frost Wyrm],February 2, 2010,October 12, 2010,37 weeks,Began with launch of Patch 3.3.2,
Season 9, [Vicious Gladiator], [Vicious Gladiator's Twilight Drake],December 14, 2010,June 28, 2011,28 weeks,Began one week after the Cataclysm,
Season 10, [Ruthless Gladiator], [Ruthless Gladiator's Twilight Drake],July 5, 2011,November 29, 2011,21 weeks,Began one week after Patch 4.2.0,
Season 11, [Cataclysmic Gladiator], [Cataclysmic Gladiator's Twilight Drake],December 6, 2011,August 28, 2012,38 weeks,Began one week after Patch 4.3.0,
Season 12, [Malevolent Gladiator], [Malevolent Gladiator's Cloud Serpent],October 2, 2012,March 5, 2013,22 weeks,Began one week after the launch of Mists of Pandaria,
Season 13, [Tyrannical Gladiator], [Tyrannical Gladiator's Cloud Serpent],March 12, 2013,September 10, 2013,26 weeks,Began one week after Patch 5.2.0,
Season 14, [Grievous Gladiator], [Grievous Gladiator's Cloud Serpent],September 17, 2013,February 18, 2014,22 weeks,Began one week after Patch 5.4.0,
Season 15, [Prideful Gladiator], [Prideful Gladiator's Cloud Serpent],February 25, 2014,October 14, 2014,33 weeks,Began one week after Patch 5.4.7,
(Season 16), [Primal Gladiator: Warlords Season 1], [Primal Gladiator's Felblood Gronnling],December 2, 2014,June 23, 2015,29 weeks,Began three weeks after the launch of Warlords of Draenor,
(Season 17), [Wild Gladiator: Warlords Season 2], [Wild Gladiator's Felblood Gronnling],June 30, 2015,November 10, 2015,22 weeks,Began one week after Patch 6.2.0,
(Season 18), [Warmongering Gladiator: Warlords Season 3], [Warmongering Gladiator's Felblood Gronnling],November 17, 2015,July 19, 2016,35 weeks,Began one week after Patch 6.2.2,
(Season 19), [Vindictive Gladiator: Legion Season 1], [Vindictive Gladiator's Storm Dragon],September 20, 2016,December 13, 2016,12 weeks,Began three weeks after the launch of Legion,
(Season 20), [Fearless Gladiator: Legion Season 2], [Fearless Gladiator's Storm Dragon],December 13, 2016,March 28, 2017,15 weeks,Began on December 13, 2016 at 8:00am PST
(Season 21), [Cruel Gladiator: Legion Season 3], [Cruel Gladiator's Storm Dragon],March 28, 2017,June 13, 2017,11 weeks,Began with launch of Patch 7.2.0,
(Season 22), [Ferocious Gladiator: Legion Season 4], [Ferocious Gladiator's Storm Dragon],June 13, 2017,August 29, 2017,11 weeks,Began with launch of Patch 7.2.5,
(Season 23), [Fierce Gladiator: Legion Season 5], [Fierce Gladiator's Storm Dragon],August 29, 2017,November 28, 2017,13 weeks,Began with launch of Patch 7.3.0,
(Season 24), [Dominant Gladiator: Legion Season 6], [Dominant Gladiator's Storm Dragon],November 28, 2017,March 20, 2018,16 weeks,Began with the release of Antorus, the Burning Throne
(Season 25), [Demonic Gladiator: Legion Season 7], [Demonic Gladiator's Storm Dragon],March 20, 2018,July 17, 2018,17 weeks,Began on March 20, 2018 at 8:00am PDT
(Season 26), [Dread Gladiator: Battle for Azeroth Season 1], [Dread Gladiator's Proto-Drake],September 4, 2018,January 22, 2019,20 weeks,Began on September 4, 2018 with the release of Uldir
(Season 27), [Sinister Gladiator: Battle for Azeroth Season 2], [Sinister Gladiator's Proto-Drake],January 22, 2019,June 25, 2019,22 weeks,Began on January 22, 2019 with the release of Battle of Dazar'alor
(Season 28), [Notorious Gladiator: Battle for Azeroth Season 3], [Notorious Gladiator's Proto-Drake],July 9, 2019,January 14, 2020,27 weeks,Began on July 9, 2019 with the release of The Eternal Palace
(Season 29), [Corrupted Gladiator: Battle for Azeroth Season 4], [Corrupted Gladiator's Proto-Drake],January 21, 2020,TBA,TBC,Began on January 21, 2020 with the release of Ny'alotha, the Waking City
