"1.0","","Billym","Overcoming","US-Azralon","33585.0"
"1.0","","Klydasaurus","HC","US-Mal'Ganis","33585.0"
"3.0","","Qeb","Merely a Setback","US-Thaurissan","33545.0"
"4.0","","Mariajones","Bajheeras Army","US-Darkspear","33485.0"
"5.0","","Ribsx","Might","US-Zul'jin","33475.0"
"6.0","","Ataxxus","Strawberry Puppy Kisses","US-Area 52","33465.0"
"7.0","","Niandre","Centurion Knights","US-Frostmourne","33445.0"
"8.0","","Fortheglory","Bros with Banjos","US-Laughing Skull","33415.0"
"9.0","","Rankshaman","Vision","US-Thrall","33410.0"
"10.0","","Dirtyb","Defenestrate","US-Tichondrius","33405.0"
"11.0","","Raei","Denial of Service","US-Burning Blade","33365.0"
"11.0","","Sheex","Discord","US-Burning Legion","33365.0"
"13.0","","Alkapoon","Bridge Four","US-Mannoroth","33360.0"
"14.0","","Cleoboltra","Occasional Excellence","US-Turalyon","33350.0"
"15.0","","Deathmaker","Essence","US-Tichondrius","33345.0"
"16.0","","Osatox","Temerity","US-Hyjal","33335.0"
"16.0","","Chairmanjeff","Semantics","US-Mal'Ganis","33335.0"
"18.0","","Trauk","Strawberry Puppy Kisses","US-Area 52","33325.0"
"19.0","","Macstallion","Melee Mechanics","US-Illidan","33305.0"
"20.0","","Trystanya","Blood Rich","US-Area 52","33285.0"
"21.0","","Inflammo","Destinys Bane","US-Skullcrusher","33280.0"
"22.0","","Easyfreeze","","US-Sargeras","33255.0"
"23.0","","Flavoflav","Valorborn","US-Proudmoore","33240.0"
"24.0","","Vyns","Crimson Company","US-Spirestone","33230.0"
"25.0","","Galifen","Rocket Surgeons","US-Executus","33205.0"
"26.0","","Oraculus","Group Two","US-Draka","33185.0"
"27.0","","Bevee","Black Phoenix","US-Argent Dawn","33150.0"
"27.0","","Happysmiles","Friend Zone","US-Stormrage","33150.0"
"29.0","","Gaulish","Regression","US-Bloodscalp","33145.0"
"29.0","","Indygochild","Crisp","US-Baelgun","33145.0"
"31.0","","Xenocrates","Vanilla Dev Team","US-Illidan","33130.0"
"32.0","","Chiptune","Order of Chaos","US-The Forgotten Coast","33110.0"
"33.0","","Dratak","The Other Guys","US-Haomarush","33095.0"
"33.0","","Pheiona","CSI Warlords","US-Azralon","33095.0"
"33.0","","Xwn","Proud Manlets","US-Kel'Thuzad","33095.0"
"36.0","","Alumenlux","Seraph","US-Mal'Ganis","33090.0"
"37.0","","Tesserae","Goon Squad","US-Mal'Ganis","33085.0"
"37.0","","Fläx","Praetorian Guards","US-Sargeras","33085.0"
"37.0","","Taras","Cry Moar","US-Blackhand","33085.0"
"40.0","","Pennyweis","Mehwinter","US-Sargeras","33080.0"
"41.0","","Velar","Lyric","US-Illidan","33055.0"
"42.0","","Finity","Defer Death","US-Zul'jin","33035.0"
"43.0","","Tau","THE STIG","US-Suramar","33025.0"
"43.0","","Bubbes","Turbo Cyborg Ninjas","US-Ner'zhul","33025.0"
"43.0","","Hodor","Light Brigade","US-Moon Guard","33025.0"
"46.0","","Yarini","Legacy Reborn","US-Area 52","33020.0"
"47.0","","Transmog","League of Best Friends","US-Gundrak","33015.0"
"48.0","","Spekgawd","Scuffed","US-Emerald Dream","33010.0"
"49.0","","Wildroot","Happy Tree Friends","US-Detheroc","32985.0"
"50.0","","Devotchke","Serious Casual","US-Mal'Ganis","32980.0"
"51.0","","Spiceice","HC","US-Burning Legion","32970.0"
"52.0","","Luxetveritas","Nevermind","US-Lightbringer","32965.0"
"53.0","","Boodizz","Early Night","US-Frostmourne","32960.0"
"54.0","","Ryken","Southern Comfort","US-Stormrage","32945.0"
"54.0","","Madone","Horizon","US-Zul'jin","32945.0"
"56.0","","Fraan","KILLERS","US-Cenarius","32930.0"
"57.0","","Knifèparty","Disorderly","US-Zul'jin","32905.0"
"57.0","","Rexy","Rexy and Friends","US-Frostmourne","32905.0"
"59.0","","Dejavudoo","Crimson","US-Frostmourne","32900.0"
"60.0","","Devastata","Discord","US-Jaedenar","32895.0"
"61.0","","Stranko","Pixel Frenzy","US-Bleeding Hollow","32880.0"
"61.0","","Akatssuki","WeebUnited","US-Mal'Ganis","32880.0"
"63.0","","Warwonka","No Turning Back","US-Sargeras","32875.0"
"64.0","","Amorfirion","watch me","US-Frostmourne","32870.0"
"64.0","","Shoogen","Engineering Madness","US-Drenden","32870.0"
"66.0","","Taterpuffs","Defenestrate","US-Tichondrius","32865.0"
"67.0","","Cosimo","Melee Mechanics","US-Illidan","32850.0"
"67.0","","Jobie","Malice","US-Sargeras","32850.0"
"67.0","","Luxzuria","Might","US-Zul'jin","32850.0"
"70.0","","Kupkaix","Nazgûl","US-Frostmourne","32830.0"
"70.0","","Priv","The Early Shift","US-Bleeding Hollow","32830.0"
"72.0","","Raym","Apotheosis","US-Eldre'Thalas","32825.0"
"73.0","","Natima","Engineering Madness","US-Drenden","32810.0"
"73.0","","Reconbravo","Currently Online","US-Illidan","32810.0"
"73.0","","Lilgushy","Casual Achievement","US-Area 52","32810.0"
"76.0","","Edwal","Hodor","US-Frostmourne","32805.0"
"77.0","","Torvald","Thunder Billies","US-Deathwing","32795.0"
"77.0","","Vanas","End It All","US-Stormrage","32795.0"
"79.0","","Knockdowner","","US-Illidan","32785.0"
"80.0","","Spiders","Rexy and Friends","US-Frostmourne","32775.0"
"80.0","","Ivanetta","Business Class","US-Sargeras","32775.0"
"82.0","","Riggoheal","High Five","US-Stormrage","32750.0"
"83.0","","Koory","Crisp","US-Baelgun","32745.0"
"84.0","","Migz","The Crimson Lotus","US-Illidan","32735.0"
"85.0","","Youkeyoh","Angry","US-Illidan","32730.0"
"86.0","","Linath","Battle Kittens","US-Sargeras","32705.0"
