,faction,guild_name,guild_rank,id,level,playable_class,playable_race,player,realm,realm_id
0,Alliance,ruin-gaming,7.0,3799619.0,120.0,3.0,3.0,Clis,tichondrius,11.0
1,Alliance,ruin-gaming,7.0,3799641.0,120.0,4.0,4.0,Assa,tichondrius,11.0
2,Alliance,ruin-gaming,8.0,10628482.0,120.0,11.0,4.0,Jaclh,tichondrius,11.0
3,Alliance,ruin-gaming,8.0,14017165.0,120.0,3.0,22.0,Vanhailsing,tichondrius,11.0
4,Alliance,ruin-gaming,8.0,19120025.0,120.0,3.0,4.0,Riply,tichondrius,11.0
5,Alliance,ruin-gaming,8.0,22359744.0,64.0,8.0,1.0,Nohotoyo,tichondrius,11.0
6,Alliance,ruin-gaming,8.0,32124136.0,120.0,11.0,4.0,Vorteg,tichondrius,11.0
7,Alliance,ruin-gaming,8.0,38548790.0,120.0,4.0,4.0,Hidngfrmwife,tichondrius,11.0
8,Alliance,ruin-gaming,8.0,49057317.0,120.0,6.0,22.0,Roanapur,tichondrius,11.0
9,Alliance,ruin-gaming,9.0,52626126.0,60.0,1.0,1.0,Bigirôn,tichondrius,11.0
10,Alliance,ruin-gaming,9.0,67821792.0,81.0,2.0,11.0,Kymea,tichondrius,11.0
11,Alliance,ruin-gaming,9.0,79400762.0,120.0,7.0,11.0,Shamayne,tichondrius,11.0
12,Alliance,ruin-gaming,8.0,81150322.0,120.0,4.0,22.0,Dagger,tichondrius,11.0
13,Alliance,ruin-gaming,8.0,92244959.0,120.0,2.0,1.0,Helgemans,tichondrius,11.0
14,Alliance,ruin-gaming,9.0,96121020.0,104.0,6.0,4.0,Deadlyfear,tichondrius,11.0
15,Alliance,ruin-gaming,9.0,98205187.0,110.0,2.0,1.0,Bgrogers,tichondrius,11.0
16,Alliance,ruin-gaming,8.0,99750311.0,120.0,4.0,4.0,Lupusnox,tichondrius,11.0
17,Alliance,ruin-gaming,9.0,100107902.0,106.0,4.0,22.0,Wreckoner,tichondrius,11.0
18,Alliance,ruin-gaming,9.0,102266492.0,114.0,3.0,1.0,Custodian,tichondrius,11.0
19,Alliance,ruin-gaming,9.0,105836347.0,119.0,6.0,1.0,Churi,tichondrius,11.0
20,Alliance,ruin-gaming,9.0,106755546.0,56.0,7.0,11.0,Acircle,tichondrius,11.0
21,Alliance,ruin-gaming,9.0,107014147.0,120.0,1.0,1.0,Definwolf,tichondrius,11.0
22,Alliance,ruin-gaming,9.0,109079506.0,82.0,6.0,22.0,Excisionqt,tichondrius,11.0
23,Alliance,ruin-gaming,9.0,111271992.0,120.0,9.0,1.0,Archangelo,tichondrius,11.0
24,Alliance,ruin-gaming,9.0,111439911.0,120.0,5.0,1.0,Alleatoire,tichondrius,11.0
25,Alliance,ruin-gaming,9.0,111598159.0,56.0,1.0,11.0,Dangerwombat,tichondrius,11.0
26,Alliance,ruin-gaming,9.0,111917393.0,101.0,4.0,4.0,Tattystomper,tichondrius,11.0
27,Alliance,ruin-gaming,9.0,112362646.0,120.0,4.0,1.0,Ycuda,tichondrius,11.0
28,Alliance,ruin-gaming,9.0,113484454.0,120.0,11.0,4.0,Manbeertree,tichondrius,11.0
29,Alliance,ruin-gaming,8.0,113574225.0,120.0,6.0,11.0,Wepkdeath,tichondrius,11.0
30,Alliance,ruin-gaming,8.0,114786174.0,120.0,11.0,4.0,Willnotferal,tichondrius,11.0
31,Alliance,ruin-gaming,8.0,115161283.0,120.0,3.0,4.0,Awardtour,tichondrius,11.0
32,Alliance,ruin-gaming,9.0,115396000.0,120.0,2.0,1.0,Kaedrius,tichondrius,11.0
33,Alliance,ruin-gaming,9.0,116215223.0,120.0,4.0,7.0,Numken,tichondrius,11.0
34,Alliance,ruin-gaming,9.0,116657837.0,100.0,4.0,1.0,Unscene,tichondrius,11.0
35,Alliance,ruin-gaming,9.0,117043704.0,40.0,7.0,3.0,Wudz,tichondrius,11.0
36,Alliance,ruin-gaming,8.0,120218991.0,120.0,7.0,11.0,Muelera,tichondrius,11.0
37,Alliance,ruin-gaming,7.0,120919832.0,120.0,3.0,3.0,Kinihunts,tichondrius,11.0
38,Alliance,ruin-gaming,8.0,125448304.0,120.0,11.0,4.0,Owlpha,tichondrius,11.0
39,Alliance,ruin-gaming,9.0,126218307.0,120.0,10.0,4.0,Illa,tichondrius,11.0
40,Alliance,ruin-gaming,9.0,126891481.0,120.0,2.0,1.0,Muhu,tichondrius,11.0
41,Alliance,ruin-gaming,8.0,126943355.0,120.0,3.0,4.0,Sightunseen,tichondrius,11.0
42,Alliance,ruin-gaming,9.0,127306404.0,120.0,8.0,1.0,Zetreos,tichondrius,11.0
43,Alliance,ruin-gaming,9.0,127492226.0,110.0,8.0,11.0,Vadicate,tichondrius,11.0
44,Alliance,ruin-gaming,8.0,127956786.0,120.0,8.0,29.0,Quelcrist,tichondrius,11.0
45,Alliance,ruin-gaming,9.0,129339095.0,120.0,9.0,7.0,Sodiux,tichondrius,11.0
46,Alliance,ruin-gaming,9.0,129794936.0,120.0,3.0,4.0,Nytrortx,tichondrius,11.0
47,Alliance,ruin-gaming,9.0,130505430.0,112.0,6.0,1.0,Blissfuldali,tichondrius,11.0
48,Alliance,ruin-gaming,9.0,131747346.0,120.0,2.0,1.0,Bizaladin,tichondrius,11.0
49,Alliance,ruin-gaming,8.0,142471318.0,120.0,1.0,1.0,Ryukai,tichondrius,11.0
50,Alliance,ruin-gaming,9.0,142545355.0,107.0,10.0,25.0,Murderedout,tichondrius,11.0
51,Alliance,ruin-gaming,9.0,143932679.0,120.0,3.0,4.0,Vosëgus,tichondrius,11.0
52,Alliance,ruin-gaming,9.0,145558924.0,120.0,3.0,3.0,Bliotch,tichondrius,11.0
53,Alliance,ruin-gaming,9.0,151050233.0,95.0,4.0,25.0,Phunkypandaz,tichondrius,11.0
54,Alliance,ruin-gaming,8.0,151383555.0,120.0,4.0,34.0,Dawgs,tichondrius,11.0
55,Alliance,ruin-gaming,8.0,152202541.0,120.0,2.0,1.0,Ùther,tichondrius,11.0
56,Alliance,ruin-gaming,8.0,154237310.0,120.0,1.0,11.0,Emmon,tichondrius,11.0
57,Alliance,ruin-gaming,9.0,154311746.0,120.0,10.0,4.0,Broffist,tichondrius,11.0
58,Alliance,ruin-gaming,9.0,154342914.0,120.0,1.0,4.0,Pudj,tichondrius,11.0
59,Alliance,ruin-gaming,9.0,157876038.0,120.0,2.0,1.0,Clab,tichondrius,11.0
